"","DauerEntryDAF2","DauerDAF2","DauerExitDAF2","YA","AdultSPE9"
"C16A3.9",12.20140719715,12.484417614206,13.5163525495342,11.2995915410869,10.6485013949079
"C16A3.11",16.699599563207,14.0255029593556,14.7802629304657,9.51198978962648,4.98718441290891
"C16A3.15",0,8.02382087372736,0,0,2.18487375643864
"C16A3.7",4.10524225381157,4.75550185255999,3.82439109459107,5.68242722269779,5.80646842279411
"C16A3.6",7.94622203797906,9.01821130852953,7.48205768122904,6.47968003971591,6.21124781962611
"C16A3.5",8.10682463009568,7.63705229085401,8.37625564931336,8.52311888656156,7.90586832452412
"C16A3.4",7.38884390653855,8.4563667370062,7.34032191851478,6.95596369226282,7.14587102417101
"C16A3.3",4.5959451855583,4.99742790800831,4.6299801958795,5.47155816846905,4.54667225230984
"C16A3.2",3.60149447749359,3.5786972376487,3.66435768000315,4.71183076220084,4.92023136019071
"C16A3.1",3.32405738337002,3.81111133949504,3.20290193446049,4.21218799364923,4.30036537405756
"C16A3.10",6.96190109904945,6.30241045042562,7.54514982746818,7.98924120978844,7.59956328094
"C05D11.4",4.51055056599986,4.85606442059989,3.54208466827106,2.82015853473016,2.11539620226989
"C05D11.5",2.53891803158614,2.26224972705143,2.27999716688125,3.04162673854201,1.1182201678635
"C05D11.6",5.52726430038028,2.10905627413381,1.35354349003893,1.92132587738027,0.777511876718357
"C05D11.7",5.26119605310542,5.98447770350145,5.31897837684027,5.57064204239754,6.60658879992334
"C05D11.8",3.14883813853035,3.66746072783832,3.26821578685714,3.6716330565959,3.67079502439611
"C05D11.9",3.94666536666096,4.5240448644362,4.20973407897379,4.84035748271331,4.05942450316481
"C05D11.10",6.11819981451413,6.84096670448742,6.57221362560802,6.45791106954501,5.57012286181475
"C05D11.3",5.8655674982966,4.89951885824124,5.514138044494,6.73088445977991,6.51220001749108
"C05D11.2",3.92353904536885,4.16580745027432,4.09131055011443,4.73574961128951,5.27543547027005
"C05D11.1",5.29512055154371,5.93972729598163,5.3842916175943,6.01233401535687,5.73456873045059
"C05D11.11",7.49617470227977,7.19180936898646,7.76789972842013,8.52109786249368,8.31571113013737
"C05D11.13",3.63279167920612,4.07401726250875,2.98411171463985,3.04566662707367,2.53165593638019
